--- All bamboo items found ---
Order: df4ef10c-a6cb-478c-ba7e-38a10f75a6b4 | Status: DELIVERED | Name: "8 inch bamboo stick" | Price: 23 | Date: 2026-03-02T06:15:52.069849+00:00
Order: 7eb5099d-924f-4d9a-809d-7a7d5e7a289f | Status: ORDER_CONFIRMED | Name: " 8-inch bamboo stick" | Price: 159 | Date: 2026-03-09T09:28:31.044378+00:00
Order: 7eb5099d-924f-4d9a-809d-7a7d5e7a289f | Status: ORDER_CONFIRMED | Name: "9 inch bamboo stick" | Price: 250 | Date: 2026-03-09T09:28:31.044378+00:00
Order: a33e7806-5462-463d-87a7-ad27e580eac0 | Status: CANCELLED | Name: "9 inch bamboo stick" | Price: 1000.8 | Date: 2026-03-09T09:38:56.357642+00:00
Order: f892a381-e096-4a6e-84d5-6816a23da384 | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 33 | Date: 2026-03-09T09:47:51.060755+00:00
Order: ce74feb8-432f-4e9a-a9d2-b6ad49d7c362 | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 100 | Date: 2026-03-12T08:51:33.615259+00:00
Order: ce74feb8-432f-4e9a-a9d2-b6ad49d7c362 | Status: DELIVERED | Name: "9 inch bamboo stick" | Price: 23 | Date: 2026-03-12T08:51:33.615259+00:00
Order: 88c473f4-925c-490e-99d8-83f63fedda89 | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 23 | Date: 2026-03-11T10:07:12.725255+00:00
Order: a7ec2be7-b569-467f-ab8e-a291fbe094b1 | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 100 | Date: 2026-03-12T07:28:36.495121+00:00
Order: a7ec2be7-b569-467f-ab8e-a291fbe094b1 | Status: DELIVERED | Name: "9 inch bamboo stick" | Price: 89.97 | Date: 2026-03-12T07:28:36.495121+00:00
Order: 9ad4b0dd-5920-41e8-bbeb-7e9150bc479e | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 100 | Date: 2026-03-12T07:38:26.174244+00:00
Order: 6e051ae8-94bd-4ffd-a8e5-efdc4c9edf8a | Status: CANCELLED | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-12T08:57:21.484561+00:00
Order: d185c208-8701-488d-905d-c3f09a2d7dd5 | Status: PENDING_PRICING | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-12T09:09:39.700805+00:00
